City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date,Country
59,Sao Jose Da Coroa Grande,-8.8978,-35.1478,83.32,67,89,9.26,overcast clouds,2022-05-15 15:31:48,BR
60,Hithadhoo,-0.6,73.0833,83.66,70,92,10.16,overcast clouds,2022-05-15 15:29:12,MV
61,Spasskoye,44.6108,132.7969,44.46,88,93,9.28,overcast clouds,2022-05-15 15:31:48,RU
62,Los Llanos De Aridane,28.6585,-17.9182,69.55,79,20,5.75,few clouds,2022-05-15 15:31:49,ES
63,Qaanaaq,77.484,-69.3632,25.59,55,100,2.77,overcast clouds,2022-05-15 15:31:49,GL
64,Lagoa,39.05,-27.9833,58.06,81,93,20.89,light rain,2022-05-15 15:31:50,PT
65,Bethel,41.3712,-73.414,74.41,75,20,9.22,few clouds,2022-05-15 15:31:51,US
66,Ewa Beach,21.3156,-158.0072,75.15,75,100,6.91,overcast clouds,2022-05-15 15:31:52,US
67,Chuy,-33.6971,-53.4616,61.54,48,100,9.93,overcast clouds,2022-05-15 15:31:52,UY
68,Pacific Grove,36.6177,-121.9166,60.42,93,75,5.75,haze,2022-05-15 15:31:53,US
69,Agadez,19.75,10.25,92.95,10,0,10.27,clear sky,2022-05-15 15:31:53,NE
70,Gushikawa,26.3544,127.8686,67.62,88,100,6.91,overcast clouds,2022-05-15 15:31:54,JP
71,Saskylakh,71.9167,114.0833,33.73,99,100,6.31,light snow,2022-05-15 15:31:54,RU
72,Necochea,-38.5473,-58.7368,53.69,75,100,23.47,overcast clouds,2022-05-15 15:31:55,AR
73,Souillac,-20.5167,57.5167,73.78,88,20,6.91,few clouds,2022-05-15 15:31:56,MU
74,Taoudenni,22.6783,-3.9836,105.57,4,33,24.2,scattered clouds,2022-05-15 15:31:56,ML
75,New Norfolk,-42.7826,147.0587,53.1,74,53,8.99,broken clouds,2022-05-15 15:31:57,AU
76,Adrar,20.5022,-10.0711,105.4,7,11,18.61,few clouds,2022-05-15 15:31:58,MR
77,Port-Gentil,-0.7193,8.7815,85.96,79,40,10.36,thunderstorm,2022-05-15 15:31:59,GA
78,Bengkulu,-3.8004,102.2655,77.99,91,100,3.0,overcast clouds,2022-05-15 15:31:59,ID
79,Fairbanks,64.8378,-147.7164,42.1,63,40,10.36,scattered clouds,2022-05-15 15:32:00,US
80,San Patricio,28.017,-97.5169,84.09,60,5,10.16,clear sky,2022-05-15 15:29:41,US
81,Tuktoyaktuk,69.4541,-133.0374,26.6,86,100,14.97,light snow,2022-05-15 15:32:00,CA
82,Thompson,55.7435,-97.8558,35.76,93,100,11.5,light intensity drizzle,2022-05-15 15:31:35,CA
83,Derzhavinsk,51.1,66.3167,60.71,69,95,8.21,overcast clouds,2022-05-15 15:32:01,KZ
84,Vila Franca Do Campo,37.7167,-25.4333,63.01,68,99,17.6,overcast clouds,2022-05-15 15:32:01,PT
85,Kodiak,57.79,-152.4072,44.11,49,0,9.22,clear sky,2022-05-15 15:32:02,US
86,Hovd,48.0056,91.6419,61.56,16,55,3.76,broken clouds,2022-05-15 15:32:02,MN
87,Nikolskoye,59.7035,30.7861,53.49,61,90,8.84,overcast clouds,2022-05-15 15:32:03,RU
88,Spokane,47.6166,-117.3677,51.06,83,100,10.36,overcast clouds,2022-05-15 15:32:03,US
89,Sandy Springs,33.9243,-84.3785,77.7,73,100,3.44,overcast clouds,2022-05-15 15:32:04,US
90,Hasaki,35.7333,140.8333,61.29,78,100,9.89,light rain,2022-05-15 15:32:04,JP
91,Aguia Branca,-18.9831,-40.7403,80.31,56,90,2.77,overcast clouds,2022-05-15 15:32:05,BR
92,Tuatapere,-46.1333,167.6833,43.72,87,8,4.18,clear sky,2022-05-15 15:32:06,NZ
