City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Matagami,CA,84.31,clear sky,49.7502,-77.6328,Motel Le Caribou
549,Chau Doc,VN,81.14,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
552,Awjilah,LY,72.23,clear sky,29.1081,21.2869,المنزل
553,Carroll,US,71.67,overcast clouds,39.5501,-77.0164,Best Western Westminster Hotel
559,Baghdad,IQ,78.71,clear sky,33.3406,44.4009,Baghdad Hotel
563,Kang,BW,66.92,clear sky,-23.6752,22.7876,Kang Ultra Stop
564,Krasnyy Yar,RU,61.97,light rain,46.5331,48.3456,Cottege near Ufa
565,Bartica,GY,84.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
567,Bugiri,UG,68.2,overcast clouds,0.5714,33.7417,Gilgal Guest House
568,Urumqi,CN,70.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
569,Fukue,JP,62.73,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
570,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
571,Sept-Iles,CA,68.52,few clouds,50.2001,-66.3821,Comfort Inn
572,Namwala,ZM,64.81,broken clouds,-15.7504,26.4384,Corner Point Lodge
574,Gorontalo,ID,74.97,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
575,Merrill,US,82.58,scattered clouds,45.1805,-89.6835,Prairie Motel
578,Buala,SB,79.5,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
579,Ca Mau,VN,80.4,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
580,Inhambane,MZ,69.96,clear sky,-23.865,35.3833,Oceano
582,Ribeira Brava,PT,69.71,clear sky,32.65,-17.0667,Hotel do Campo
585,Hagere Hiywet,ET,63.7,few clouds,8.9833,37.85,Hot Springs Resort
587,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
590,Ovca,RS,66.49,light rain,44.8835,20.5334,Hotel Elegance
591,Asau,RO,61.72,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
594,Garachine,PA,82.6,overcast clouds,8.0647,-78.3628,
595,Misratah,LY,69.48,clear sky,32.3754,15.0925,Almasa Hotel
597,Wajir,KE,83.79,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
598,Amahai,ID,78.76,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
599,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
600,Katherine,AU,66.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
603,Nichlaul,IN,84.76,clear sky,27.3167,83.7333,Karan Manes Parler
604,Mtimbira,TZ,70.9,overcast clouds,-8.7833,36.35,
605,Faanui,PF,81.21,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
606,Semey,KZ,63.05,overcast clouds,50.4111,80.2275,Grand Hotel Semey
607,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
610,Belmonte,BR,75.52,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
613,Kapit,MY,73.72,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
614,Sainte-Savine,FR,64.35,clear sky,48.2964,4.0464,Le Royal
615,Buedu,SL,70.09,light rain,8.2803,-10.3719,Luawa resort
616,Caravelas,BR,75.11,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
617,Laguna De Perlas,NI,78.89,broken clouds,12.3429,-83.6712,Hotel Best View
618,Mayo,US,71.13,moderate rain,38.8876,-76.5119,Resorts Resource Group International
619,Honiara,SB,76.98,broken clouds,-9.4333,159.95,Heritage Park Hotel
620,Patea,NZ,62.71,overcast clouds,-39.7583,174.4833,Patea Rest N Fresh
621,Wajid,SO,76.71,light rain,3.8093,43.2471,xamdihotelresturant114
622,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
623,Nsanje,MW,69.04,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
625,Gamba,GA,77.81,overcast clouds,-2.65,10.0,
627,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
628,Temerloh,MY,75.69,broken clouds,3.4483,102.4176,U Design Hotel Temerloh
631,Soyo,AO,77.85,clear sky,-6.1349,12.3689,Hotel Mpampa
633,Naze,JP,63.52,light rain,28.3667,129.4833,Shishime Hotel
635,Kurri Kurri,AU,63.41,overcast clouds,-32.8167,151.4833,Kurri Motor Inn
639,Mahajanga,MG,78.33,broken clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
640,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
641,Acari,PE,76.93,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
644,Aguimes,ES,68.63,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
647,Kampot,KH,80.65,few clouds,10.6167,104.1833,Two Moons Hotel
648,Libourne,FR,70.3,overcast clouds,44.9167,-0.25,Hôtel Mercure Libourne Saint-Émilion
652,Urucara,BR,83.19,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
655,Bilma,NE,84.38,clear sky,18.6853,12.9164,Expeditions Ténére voyages
656,Kingsport,US,81.52,broken clouds,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
657,Catuday,PH,81.3,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
658,Jalapa,MX,82.51,clear sky,19.5333,-96.9167,Hotel Mision Xalapa Plaza de las Convenciones
659,Magadi,IN,72.55,moderate rain,12.9667,77.2333,Gobi centre
661,San Quintin,MX,73.62,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
662,Lorengau,PG,80.28,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
664,Kununurra,AU,69.78,clear sky,-15.7667,128.7333,Hotel Kununurra
666,Shache,CN,70.72,overcast clouds,38.4167,77.2406,Delong Hotel
668,Hibbing,US,67.42,scattered clouds,47.4272,-92.9377,Americas Best Value Inn Hibbing
669,Mitchell,US,70.11,clear sky,43.7094,-98.0298,Kelly Inn & Suites
670,Anito,PH,77.52,overcast clouds,12.4497,125.2886,El Felix Cottages
672,Cervo,ES,63.97,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
674,Kuchinarai,TH,80.64,overcast clouds,16.541,104.05,โรงแรมแสงชัย
675,Redmond,US,65.82,overcast clouds,47.674,-122.1215,Seattle Marriott Redmond
679,Lambarene,GA,77.31,light rain,-0.7001,10.2406,Le Refuge
682,Pekalongan,ID,80.69,overcast clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
683,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
691,Sao Filipe,CV,75.52,overcast clouds,14.8961,-24.4956,Hotel Xaguate
693,Bubaque,GW,78.67,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
695,Albany,US,72.25,overcast clouds,42.6001,-73.9662,
696,Atuona,PF,78.17,light rain,-9.8,-139.0333,Villa Enata
698,Rikitea,PF,76.6,overcast clouds,-23.1203,-134.9692,People ThankYou
699,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
702,Victoria,HK,75.38,overcast clouds,22.2855,114.1577,Mini Central
705,San Patricio,US,83.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
709,Hithadhoo,MV,82.38,broken clouds,-0.6,73.0833,Scoop Guest House
710,Beni,CD,61.77,light rain,0.5,29.4667,Albertine hotel
711,Arlit,NE,84.16,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
713,Hobart,AU,66.25,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
714,Aldama,MX,78.8,clear sky,22.9167,-98.0667,CASA CANYE
716,Carnarvon,AU,64.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
719,Anantapur,IN,80.71,overcast clouds,14.6833,77.6,Hotel Gpr grand
720,Vao,NC,73.71,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
722,East London,ZA,60.21,clear sky,-33.0153,27.9116,Tu Casa
723,Jamestown,US,67.05,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
726,Filadelfia,US,68.2,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
729,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
730,Pangkalanbuun,ID,84.2,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
731,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
732,Cidreira,BR,63.64,moderate rain,-30.1811,-50.2056,Hotel Castelo
734,New Norfolk,AU,65.91,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
737,Jalu,LY,68.09,clear sky,29.0331,21.5482,صاحبة الفخامة
738,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
739,Karratha,AU,75.9,clear sky,-20.7377,116.8463,ibis Styles Karratha
740,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
741,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
744,Hasaki,JP,63.0,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
745,Maracacume,BR,73.98,overcast clouds,-2.0428,-45.9592,Hotel Ramos
746,Meybod,IR,60.82,clear sky,32.2501,54.0166,Traditional Hotel Restaurant Haji Malek
747,Billings,US,62.37,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
748,Toumodi,CI,72.37,overcast clouds,6.5613,-5.0158,Hotel Akanza
750,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
751,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
752,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
753,Malanje,AO,62.98,clear sky,-9.5402,16.341,Hotel Ginga
755,Broome,US,68.38,few clouds,42.2506,-75.833,Chenango Valley State Park
756,Karachi,PK,82.22,smoke,24.9056,67.0822,Sadaat
759,Kanniyakumari,IN,79.93,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
761,Geraldton,AU,63.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
762,Mount Pleasant,US,73.54,clear sky,32.7941,-79.8626,Best Western Patriots Point
763,Portland,US,71.58,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
765,Tura,IN,76.41,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
766,Mazatlan,MX,79.02,few clouds,23.2167,-106.4167,Hotel La Siesta
767,Tateyama,JP,63.27,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
768,Cheremnoye,RU,66.79,broken clouds,53.1697,83.2133,
769,Pouembout,NC,82.65,broken clouds,-21.1333,164.9,Camping de Tipenga
773,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
774,Lazaro Cardenas,MX,81.79,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
775,Miandrivazo,MG,70.27,few clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
776,Sakakah,SA,72.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
778,Poughkeepsie,US,70.47,broken clouds,41.7004,-73.921,"Holiday Inn Express Poughkeepsie, an IHG Hotel"
779,Boguchany,RU,61.7,overcast clouds,58.3814,97.4531,Uyut
780,Itarema,BR,78.3,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
785,Nioro,GM,79.45,clear sky,13.35,-15.75,
787,Airai,TL,69.67,broken clouds,-8.9266,125.4092,
790,Butaritari,KI,80.89,clear sky,3.0707,172.7902,Isles Sunset Lodge
793,Kiama,AU,74.25,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
794,Camacha,PT,62.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
799,Poum,NC,77.47,overcast clouds,-20.2333,164.0167,
800,Yondo,CO,76.95,overcast clouds,7.0062,-73.9097,estacion sayab sede la felicidad
803,Coaldale,CA,63.91,few clouds,49.7167,-112.6185,Station Grounds: A Manufactured Housing Community
805,Hambantota,LK,78.71,overcast clouds,6.1241,81.1185,Bungalow 63
811,Freeport,US,65.75,mist,40.6576,-73.5832,The Freeport Inn and Marina
812,Alice Springs,AU,69.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
814,Oriximina,BR,76.05,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
815,Hamilton,US,66.24,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
817,Kulhudhuffushi,MV,83.77,overcast clouds,6.6221,73.07,Haajy Guest House 1
821,Waingapu,ID,82.27,clear sky,-9.6567,120.2641,Pondok Wisata Elim
822,Marawi,PH,77.22,overcast clouds,7.9986,124.2928,Derogongan Residence
823,Arraial Do Cabo,BR,72.68,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
824,Bengkulu,ID,79.68,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
826,Hami,CN,66.38,overcast clouds,42.8,93.45,Laoyutang Resort
827,Waddan,LY,65.35,clear sky,29.1614,16.139,محل الشريف محمد العايب
828,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
829,Estelle,US,84.2,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
831,Collingwood,CA,70.45,light rain,44.4834,-80.2164,Comfort Inn & Suites
833,Ribeira Grande,PT,60.03,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
834,Tabou,CI,77.77,overcast clouds,4.423,-7.3528,hotêl doufoulougou
836,Port-Gentil,GA,80.69,light rain,-0.7193,8.7815,Fengshui Residence
839,Maravilha,BR,60.8,overcast clouds,-26.7608,-53.1725,Maravilha Palace Hotel
840,Bontang,ID,80.96,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
841,Gerash,IR,75.34,clear sky,27.6652,54.1371,Sa'adat House Gerash
